"province","additional_info_id","additional_info_short","additional_info_full"
"Alberta",1,"AB1","self-isolate at home on Feb. 28"
"Alberta",2,"AB2","Travel and Close Contact"
"Alberta",3,"AB3","Case is a close contact of someone who has recently travelled to Ukraine, Turkey, and Netherlands"
"Alberta",4,"AB4","The travellers had returned from visiting a range of countries, including France, the Netherlands, Egypt, Iran, Taiwan, Germany, Malaysia, Trinidad and Tobago, Panama, the Philippines and the United States. Several of the cases visited more than one country on their trip. One individual was also on the same MS Braemar cruise ship in the Caribbean as a case announced March 9."
"Alberta",5,"AB5","The travellers had returned from visiting a range of countries, including France, the Netherlands, Egypt, Iran, Taiwan, Germany, Malaysia, Trinidad and Tobago, Panama, the Philippines and the United States. Several of the cases visited more than one country on their trip. One individual was also on the same MS Braemar cruise ship in the Caribbean as a case announced March 9; Travel and Close Contact"
"Alberta",6,"AB6","Travellers had returned from visting a range of countreis, including Iran, Egypt, Spain, Mexico, and the United States (Washington State)"
"Alberta",7,"AB7","The travellers returned from travelling in Jordan, Egypt, France, Germany, and the United States, specifically Florida"
"Alberta",8,"AB8","Recently attended a conference in Vancouver and was notified that a positive case had attended the same conference"
"Alberta",9,"AB9","household contacts of a previously confirmed case"
"Alberta",10,"AB10","In intensive care Of these 10 cases (14-03-2020), 8 had travel or close contact with traveller. Locations were Vancouver, Las Vegas , Switzerland, Germany, Spain, Pakistan"
"Alberta",11,"AB11","Of these 10 cases (14-03-2020), 8 had travel or close contact with traveller. Locations were Vancouver, Las Vegas , Switzerland, Germany, Spain, Pakistan"
"Alberta",12,"AB12","1 case confirmed as community in Edmonton"
"Alberta",13,"AB13","These 7 were from same gathering"
"Alberta",14,"AB14","1 case confirmed as community in Calgary"
"Alberta",15,"AB15","5 new cases from close contact, 1 new case from travel, 1 new case of suspected community transmission (based on changes from 19-03-2020 to 20-03-2020)"
"Alberta",16,"AB16","On March 25th, Alberta had less unknown health regions than the 24th, so we have assumed redistribution of cases accordingly."
"Alberta",17,"AB17","On March 26th, Alberta had less unknown health regions than the 25th, so we have assumed redistribution of cases accordingly."
"Alberta",18,"AB18","On March 29, AB reported 46 cases in central (but March 28 repoted 48), so we have redistributed cases accordingly into Edmonton"
"Alberta",19,"AB19","2 deaths (males in their 90s from Calgary and 80s from North zone), 14 new community transmission, 2 new cases in continuing care facility (Manoir Du Lac retirement home)"
"Alberta",20,"AB20","On 05-04-2020, Alberta announced less unknown health regions than the day before. We have assumed redistribution of cases accordingly"
"Alberta",21,"AB21","15-04-2020 until 17-04-2020: Technical issue with Alberta system meant region-level info for 15th/16th/17th was not available by day, overall provincial total was provided on 17th. Therefore we redistributed new cases from 15th-17th evenly across the three days"
"Alberta",22,"AB22","15-04-2020 until 17-04-2020: Technical issue with Alberta system meant region-level info for 15th/16th/17th was not available by day, overall provincial total was provided on 17th. Therefore we redistributed new cases from 15th-17th evenly across the three days. 18-04-2020: 1 fewer case reported in Central - assumed this was to Calgary"
"Alberta",23,"AB23","15-04-2020 until 17-04-2020: Technical issue with Alberta system meant region-level info for 15th/16th/17th was not available by day, overall provincial total was provided on 17th. Therefore we redistributed new cases from 15th-17th evenly across the three days. 31-05-2020: 1 fewer case with Not Reported health region. Cases redistributed accordingly."
"Alberta",24,"AB24","15-04-2020 until 17-04-2020: Technical issue with Alberta system meant region-level info for 15th/16th/17th was not available by day, overall provincial total was provided on 17th. Therefore we redistributed new cases from 15th-17th evenly across the three days. On 30-05-2020 Alberta reported 10 fewer cases 'not reported' we have redistributed cases accordingly."
"Alberta",25,"AB25","15-04-2020 until 17-04-2020: Technical issue with Alberta system meant region-level info for 15th/16th/17th was not available by day, overall provincial total was provided on 17th. Therefore we redistributed new cases from 15th-17th evenly across the three days. On 30-05-2020 Alberta reported 10 fewer cases 'not reported' we have redistributed cases accordingly"
"Alberta",26,"AB26","19-04-2020: Edmonton cases decreased by four. Cases redistributed accordingly"
"Alberta",27,"AB27","On 30-05-2020 Alberta reported 10 fewer cases 'not reported' we have redistributed cases accordingly"
"Alberta",28,"AB28","On 20-04-2020 Alberta announced 5 less cases with unknown region, so we have redistributed cases accordingly"
"Alberta",29,"AB29","On 29-05-2020 Alberta announced 2 fewer not reported, we have assumed a redistribution of cases accordingly."
"Alberta",30,"AB30","29-05-2020: Alberta had 2 fewer not reported. Assumed a redistribution of cases accordingly."
"Alberta",31,"AB31","07-05-2020: Alberta had 2 fewer not reported. Assumed a redistribution of cases accordingly."
"Alberta",32,"AB32","06-05-2020: Alberta reported 4 fewer Not Reported. Cases redistributed accordingly."
"Alberta",33,"AB33","28-04-2020: AB reported 5 fewer ""Not Reported"". Cases redistributed accordingly"
"Alberta",34,"AB34","05-05-2020 Changed from Not Reported to Calgary"
"Alberta",35,"AB35","04-05-2020: 3 fewer cases ""Not Reported"" health region. Cases redistributed accordingly"
"Alberta",36,"AB36","08-06-2020: 10 fewer cases in Central. Cases redistributed accordingly"
"Alberta",37,"AB37","Changed from Edmonton to Calgary on 05-05-2020"
"Alberta",38,"AB38","On 09-05-2020 Alberta announced one fewer case in North HR, we have redistributed cases accordingly"
"Alberta",39,"AB39","12-05-2020: Edmonton reported 3 fewer cases. Cases redistributed accordingly"
"Alberta",40,"AB40","13-05-2020: 1 fewer case in Central, we have redistributed cases accordingly"
"Alberta",41,"AB41","12-05-2020: Central reported 1 fewer case. Cases redistributed accordingly"
"Alberta",42,"AB42","12-05-2020: North reported 1 fewer case. Cases redistributed accordingly"
"Alberta",43,"AB43","15-05-2020: 4 fewer ""Not Reported"" health regions. Cases redistributed accordingly"
"Alberta",44,"AB44","05-06-2020: 1 fewer case in Central. Cases redistributed accordingly (to Edmonton)"
"Alberta",45,"AB45","On 30-05-2020 Alberta announced 1 less case in Central, we have redistributed accordingly"
"Alberta",46,"AB46","17-05-2020: 2 fewer ""Not Reported"" health regions. Cases redistributed accordingly"
"Alberta",47,"AB47","23-05-2020- reported one less case in edmonton. Assumed a re-distribution of cases"
"Alberta",48,"AB48","08-06-2020: 6 fewer cases in North region. Cases redistributed accordingly"
"Alberta",49,"AB49","05-06-2020: 1 fewer case in North. Cases redistributed accordingly"
"Alberta",50,"AB50","04-06-2020: 1 fewer case in North. Cases redistributed accordingly"
"Alberta",51,"AB51","08-06-2020: 1 fewer case with ""Not Reported"" health region. Cases redistributed accordingly."
"Alberta",52,"AB52","12-06-2020: 1 fewer case in Central. Cases redistributed accordingly"
"Alberta",53,"AB53","15-06-2020: 1 fewer case with Not Reported health region. Cases redistributed accordingly"
"Alberta",54,"AB54","15-06-2020: 1 fewer case in Central. Cases redistributed accordingly"
"Alberta",55,"AB55","16-06-2020: 6 previously probable cases now negative. Replaced with cases from 16-06-2020"
"Alberta",56,"AB56","27-06-2020: 1 fewer case with Not Reported health region. Cases redistributed accordingly"
"Alberta",57,"AB57","22-06-2020: 1 fewer case with Not Reported health region. Cases redistributed accordingly"
"Alberta",58,"AB58","25-06-2020: 1 fewer case with Not Reported health region. Cases redistributed accordingly"
"Alberta",59,"AB59","23-06-2020: 1 fewer case with Not Reported health region. Cases redistributed accordingly"
